did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	3.0	W	greedy	1	(0.0, 0.3)	{143}	959	317.6124898015972	-287.7	-95.28374694047915
d1	3.0	W	greedy	2	(0.0, 0.3)	{53, 143}	1734	578.8984258007067	-520.1999999999999	-173.669527740212
d1	3.0	W	greedy	3	(0.0, 0.3)	{72, 53, 143}	2211	736.9780703175002	-663.3	-221.09342109525005
d1	3.0	W	greedy	4	(0.0, 0.5)	{143, 1, 53, 183}	2582	886.8528310654754	-1291.0	-443.4264155327377
d1	3.0	W	h1	1	(0.0, 0.0)	{53}	821	275.01438088877757	0.0	0.0
d1	3.0	W	h1	2	(0.0, 0.2)	{53, 125}	1455	488.5292925118958	-291.0	-97.70585850237916
d1	3.0	W	h1	3	(0.0, 0.2)	{72, 53, 125}	1858	622.7423873445193	-371.6	-124.54847746890387
d1	3.0	W	h1	4	(0.0, 0.3)	{72, 53, 125, 143}	2358	790.666161449203	-707.4	-237.19984843476087
d1	3.0	W	h2	1	(0.0, 0.3)	{143}	959	317.6124898015972	-287.7	-95.28374694047915
d1	3.0	W	h2	2	(0.0, 0.3)	{53, 143}	1734	578.8984258007067	-520.1999999999999	-173.669527740212
d1	3.0	W	h2	3	(0.0, 0.3)	{72, 53, 143}	2211	736.9780703175002	-663.3	-221.09342109525005
d1	3.0	W	h2	4	(0.0, 0.3)	{72, 53, 125, 143}	2358	790.666161449203	-707.4	-237.19984843476087
